exp_id,condition_id,antenna_id,pulse_id,trial_id,max_zscore
1_03022023,1_03022023_cond_1,1_03022023_antenna_1,1_03022023_antenna_1_pulse_1,1_03022023_trial_3,0.3932
1_03022023,1_03022023_cond_1,1_03022023_antenna_1,1_03022023_antenna_1_pulse_2,1_03022023_trial_3,1.4950
1_03022023,1_03022023_cond_1,1_03022023_antenna_1,1_03022023_antenna_1_pulse_3,1_03022023_trial_3,0.6231
1_03022023,1_03022023_cond_1,1_03022023_antenna_2,1_03022023_antenna_2_pulse_1,1_03022023_trial_3,0.5107
1_03022023,1_03022023_cond_1,1_03022023_antenna_2,1_03022023_antenna_2_pulse_2,1_03022023_trial_3,1.3404
1_03022023,1_03022023_cond_1,1_03022023_antenna_2,1_03022023_antenna_2_pulse_3,1_03022023_trial_3,-0.0169
1_03022023,1_03022023_cond_1,1_03022023_antenna_3,1_03022023_antenna_3_pulse_1,1_03022023_trial_3,0.6295
1_03022023,1_03022023_cond_1,1_03022023_antenna_3,1_03022023_antenna_3_pulse_2,1_03022023_trial_3,1.6610
1_03022023,1_03022023_cond_1,1_03022023_antenna_3,1_03022023_antenna_3_pulse_3,1_03022023_trial_3,0.9883
1_03022023,1_03022023_cond_1,1_03022023_antenna_4,1_03022023_antenna_4_pulse_1,1_03022023_trial_3,0.5840
1_03022023,1_03022023_cond_1,1_03022023_antenna_4,1_03022023_antenna_4_pulse_2,1_03022023_trial_3,1.1693
1_03022023,1_03022023_cond_1,1_03022023_antenna_4,1_03022023_antenna_4_pulse_3,1_03022023_trial_3,-0.0279
1_03022023,1_03022023_cond_1,1_03022023_antenna_5,1_03022023_antenna_5_pulse_1,1_03022023_trial_3,0.5728
1_03022023,1_03022023_cond_1,1_03022023_antenna_5,1_03022023_antenna_5_pulse_2,1_03022023_trial_3,0.6195
1_03022023,1_03022023_cond_1,1_03022023_antenna_5,1_03022023_antenna_5_pulse_3,1_03022023_trial_3,0.2025
1_03022023,1_03022023_cond_1,1_03022023_antenna_6,1_03022023_antenna_6_pulse_1,1_03022023_trial_3,1.0415
1_03022023,1_03022023_cond_1,1_03022023_antenna_6,1_03022023_antenna_6_pulse_2,1_03022023_trial_3,1.9257
1_03022023,1_03022023_cond_1,1_03022023_antenna_6,1_03022023_antenna_6_pulse_3,1_03022023_trial_3,0.2741
1_03022023,1_03022023_cond_2,1_03022023_antenna_7,1_03022023_antenna_7_pulse_1,1_03022023_trial_3,0.5898
1_03022023,1_03022023_cond_2,1_03022023_antenna_7,1_03022023_antenna_7_pulse_2,1_03022023_trial_3,0.4594
1_03022023,1_03022023_cond_2,1_03022023_antenna_7,1_03022023_antenna_7_pulse_3,1_03022023_trial_3,0.1827
1_03022023,1_03022023_cond_2,1_03022023_antenna_8,1_03022023_antenna_8_pulse_1,1_03022023_trial_3,0.4075
