"variable","conditions","pulse","max_zscore","mean_z_score","max_value","mean_value","odorant","short_cond_names"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.152811345488197,0.342475207523989,1.00014514968921,1.00285819949894,"water 1","DmOR7a_F_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.837831602698763,0.00125433441762169,1.00479151845476,1.00039481430992,"water 1","DmOR7a_F_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.884635247502273,0.0701353734536375,1.00510897912989,1.00025583605237,"water 1","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.279550395886029,0.231955974541481,1.00246682404857,1.00370801296444,"water 1","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.116751079019029,-0.226727072237107,1.00125840529187,0.996377896047086,"water 1","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",-0.387394221514133,-0.13214606044463,0.997516260367717,1.00023756313645,"water 1","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.243114301197584,0.384773309659838,1.00063275082458,1.00370831038037,"water 1","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.212085691357919,-0.177683033316278,1.0004168402029,0.997662654019899,"water 1","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.487905839037507,-0.0933782166452037,1.00233611727864,0.997930421476755,"water 1","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.93529692450412,0.36989775412992,1.01340753758859,1.00989372477625,"water 1","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",1.76184624142138,1.10426126480664,1.02464064609613,1.01425401108777,"water 1","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",-0.075386476530342,-1.29795311051531,0.999671979312478,0.982927835757184,"water 1","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.511947403492207,0.153942643918784,1.00182470609779,1.00112983456692,"water 1","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.175069698832685,-0.0955001222674768,0.998845206242142,0.995195914403006,"water 1","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",1.54881627674708,0.450849525136478,1.01099524666923,1.00146150414056,"water 1","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.166522498826011,0.343499146699893,0.999944012042221,1.00273419984476,"water 1","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",-0.380207084541261,-0.14158456276457,0.996214593536827,0.997657275432647,"water 1","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.0555135951597423,0.250508335872203,0.999186784571473,1.0007894461113,"water 1","DmOR7a_F_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.276315379327863,0.281861011082228,1.00161909299392,1.00323514835929,"water 1","DmOR43a_M_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.0357431131951367,-0.351285223783404,1.00000488872639,0.997066228518022,"water 1","DmOR43a_M_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.0714050652473031,0.208454608041887,0.999285940321903,1.00207838521656,"water 1","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.13272696414106,0.399416233034286,1.00017066046611,1.00299209908361,"water 1","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.402422931843196,-0.186725185801841,1.00200693114933,0.998050542894342,"water 1","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.386119521763168,-0.15755299577267,0.996638006273036,0.997920711462864,"water 1","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.434726508900776,0.488698705033025,1.00216186658425,1.00405283800212,"water 1","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.0800564873086845,-0.371990298867526,0.999708261808281,0.996064394774619,"water 1","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.26341079610009,0.0350893937536691,0.997332157498199,0.999746585019377,"water 1","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.40984642793436,0.373303843159591,1.00303948431285,1.00421812741489,"water 1","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",-0.158612445472923,-0.593383842771963,0.998179833389034,0.995003431563389,"water 1","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.515364923444966,-0.0124323963608208,1.00394154262908,0.999276285272595,"water 1","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.252332490695251,0.361894230701785,1.00166588260046,1.00455361963532,"water 1","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.0220081810846342,-0.169986642417729,1.00007140230383,0.998910434123093,"water 1","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.52531403900186,-0.197846009437336,0.99628242103082,0.998114552843091,"water 1","DmOR43a_M_3"
