"max_zscore","pulse","variable","conditions","odorant","olfactory_receptor","short_cond_names"
0.9798,"1_03062023_2_antenna_7_pulse_1","1_03062023_2_antenna_7","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.279,"1_03062023_2_antenna_7_pulse_2","1_03062023_2_antenna_7","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.863,"1_03062023_2_antenna_7_pulse_3","1_03062023_2_antenna_7","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.2558,"1_03062023_2_antenna_8_pulse_1","1_03062023_2_antenna_8","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.3588,"1_03062023_2_antenna_8_pulse_2","1_03062023_2_antenna_8","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.0243,"1_03062023_2_antenna_8_pulse_3","1_03062023_2_antenna_8","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.8181,"1_03062023_2_antenna_9_pulse_1","1_03062023_2_antenna_9","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.2635,"1_03062023_2_antenna_9_pulse_2","1_03062023_2_antenna_9","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.9977,"1_03062023_2_antenna_9_pulse_3","1_03062023_2_antenna_9","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.6958,"1_03062023_2_antenna_10_pulse_1","1_03062023_2_antenna_10","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.3427,"1_03062023_2_antenna_10_pulse_2","1_03062023_2_antenna_10","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.328,"1_03062023_2_antenna_10_pulse_3","1_03062023_2_antenna_10","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.1101,"1_03062023_2_antenna_11_pulse_1","1_03062023_2_antenna_11","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.3637,"1_03062023_2_antenna_11_pulse_2","1_03062023_2_antenna_11","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.3303,"1_03062023_2_antenna_11_pulse_3","1_03062023_2_antenna_11","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.8731,"1_03062023_2_antenna_12_pulse_1","1_03062023_2_antenna_12","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.4217,"1_03062023_2_antenna_12_pulse_2","1_03062023_2_antenna_12","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.9355,"1_03062023_2_antenna_12_pulse_3","1_03062023_2_antenna_12","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
2.1492,"1_03062023_2_antenna_7_pulse_1","1_03062023_2_antenna_7","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.6524,"1_03062023_2_antenna_7_pulse_2","1_03062023_2_antenna_7","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.7827,"1_03062023_2_antenna_7_pulse_3","1_03062023_2_antenna_7","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.9082,"1_03062023_2_antenna_8_pulse_1","1_03062023_2_antenna_8","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.3631,"1_03062023_2_antenna_8_pulse_2","1_03062023_2_antenna_8","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.8715,"1_03062023_2_antenna_8_pulse_3","1_03062023_2_antenna_8","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.8416,"1_03062023_2_antenna_9_pulse_1","1_03062023_2_antenna_9","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.6863,"1_03062023_2_antenna_9_pulse_2","1_03062023_2_antenna_9","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.2147,"1_03062023_2_antenna_9_pulse_3","1_03062023_2_antenna_9","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.6905,"1_03062023_2_antenna_10_pulse_1","1_03062023_2_antenna_10","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
1.3968,"1_03062023_2_antenna_10_pulse_2","1_03062023_2_antenna_10","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
0.9607,"1_03062023_2_antenna_10_pulse_3","1_03062023_2_antenna_10","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
2.2985,"1_03062023_2_antenna_11_pulse_1","1_03062023_2_antenna_11","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
2.1889,"1_03062023_2_antenna_11_pulse_2","1_03062023_2_antenna_11","DmOR59b_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","Methyl butyrate","DmOR59b","DmOR59b_F_3"
